country,determination_perseverance,feeling_of_responsibility,good_manners,hard_work,imagination,independence,obedience,religious_faith,thrift_saving_money_and_things,tolerance_and_respect_for_others,unselfishness,year
Andorra,35.5,90.4,0,60.1,42.9,48.5,38.3,6.9,23.6,88.4,18.7,2005-2009
Albania,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Algeria,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Argentina,23.5,72.1,0,57.7,25.2,44,44.6,25.6,15.4,71.5,8.7,2005-2009
Australia,49.3,72.3,0,48.6,43.1,63.6,38.8,21,35.1,91.7,53.6,2005-2009
Armenia,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Bosnia Herzegovina,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Brazil,31.4,77.9,0,61.1,26.7,28.5,56.6,55.7,28.6,64.4,40.1,2005-2009
Belarus,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Bulgaria,56.1,73.5,0,87,17.3,46.1,24.7,18.2,42.1,53,49.6,2005-2009
Canada,48.7,71.8,0,54.1,33.7,58.1,29.9,30.4,26.7,82.6,47,2005-2009
Chile,44.6,82.8,0,27.2,25.7,40.3,51.9,39.7,39.9,79.5,31.8,2005-2009
China,24,67.2,0,83.4,25.3,69.8,13.8,2.4,61.6,64.7,30.8,2005-2009
Taiwan,33.6,92,0,54.7,17.5,80.3,16.5,8.9,68.1,79.8,30.1,2005-2009
Colombia,20.1,82.9,0,19,17.8,33.5,59.2,47.7,48.2,84.1,53.4,2005-2009
Croatia,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Cyprus,44.4,77.8,0,45.6,17.6,46.7,49.8,42.2,39.9,70.4,43.5,2005-2009
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Dominican Rep.,0,0,0,0,0,0,0,0,0,0,0,2005-2009
El Salvador,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Ecuador,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Estonia,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Ethiopia,30.5,47.2,0,54.5,39.1,79.2,38.9,41.3,52.5,36.1,36.2,2005-2009
Finland,64.3,90.1,0,14.7,37.9,69.3,32.7,12,26.1,86.7,30.1,2005-2009
France,55,78.9,0,62.2,25,37.2,41.2,8.7,42.9,86.8,55.1,2005-2009
Georgia,26.5,81.1,0,89.5,9.7,53.7,21.9,67.3,29.1,72.1,16.9,2005-2009
Palestine,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Germany,64.2,85.1,0,26,39.6,77.6,15.8,9.3,48.2,74.6,6.8,2005-2009
Ghana,43.3,44.3,0,79.1,17.1,37.2,81.7,72.6,19.6,70.7,33.1,2005-2009
Guatemala,22.2,63.9,0,28.9,11.2,27,47.4,58.4,39.4,59,42.7,2005-2009
Haiti,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Hong Kong,5.9,26.4,0,18.6,2.4,23.9,2.2,1.2,1.8,14.2,1.8,2005-2009
Hungary,51.5,83.3,0,41.3,17.9,81.4,30.8,16.1,46.9,76.1,32.4,2005-2009
India,40.7,68,0,81.3,25.4,66.9,55.9,41.3,55.4,55.8,34.2,2005-2009
Indonesia,41.5,83.9,0,59.4,18.2,82,53.3,90.6,47.3,59.1,32.6,2005-2009
Iran,30.3,81.1,0,68.8,17.6,63.1,32.4,71.4,39.2,64.5,32.5,2005-2009
Iraq,20.8,82.9,0,63.4,9.1,28.9,73.3,89.9,31.6,85.2,9.4,2005-2009
Israel,0,0,0,0,0,0,0,0,0,0,0,2005-2009
Italy,44.2,87.1,0,39.3,14.6,58.5,26.1,34.4,39.4,73.9,43.9,2005-2009
Japan,67.2,90.6,0,32.4,30.8,80,5.1,5.6,52.3,74.5,50.3,2005-2009
