country,determination_perseverance,feeling_of_responsibility,good_manners,hard_work,imagination,independence,obedience,religious_faith,thrift_saving_money_and_things,tolerance_and_respect_for_others,unselfishness,year
Andorra,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Albania,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Algeria,35.2,0,0,56.3,59.5,23.4,31.2,47.9,64.7,61.4,34.3,2010-2019
Azerbaijan,39.7,0,0,79.2,74,13.3,58.5,6.4,19.4,71.7,21.7,2010-2019
Argentina,25.1,0,0,57.3,40.6,31.4,44.1,35.3,23.2,58.2,42.3,2010-2019
Australia,50.3,0,0,65.9,59.1,39.8,65,28.2,15.2,86.3,49.2,2010-2019
Armenia,32.8,0,0,79.6,81.9,6.1,28,24.2,38.1,56.3,24.1,2010-2019
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Bosnia Herzegovina,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Brazil,28.2,0,0,77.9,64.1,24.4,37.6,51.5,49.8,64.2,31.5,2010-2019
Belarus,35.1,0,0,80.6,87.6,12.1,38.6,33.8,14.4,60.7,13.9,2010-2019
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Canada,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Chile,53.6,0,0,76.9,30.5,22.2,49.2,45.8,27.5,82,42.7,2010-2019
China,26,0,0,65.9,75.3,17,69.7,7.5,1.2,52.2,29.2,2010-2019
Taiwan,28,0,0,82.4,40.4,18.7,72.3,11.1,9,77.4,24.4,2010-2019
Colombia,24.3,0,0,82,13.6,20.8,36.4,66.4,60.3,86.4,45.8,2010-2019
Croatia,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Cyprus,41,0,0,80.7,40.8,23.4,43.1,37.2,37.4,69.7,36,2010-2019
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Dominican Rep.,0,0,0,0,0,0,0,0,0,0,0,2010-2019
El Salvador,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Ecuador,25.4,0,0,75,44.3,25.1,37.4,59.7,49,67.7,54.1,2010-2019
Estonia,69.4,0,0,88.4,87.5,36.8,54.5,62.7,18.8,84.5,42.5,2010-2019
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Finland,0,0,0,0,0,0,0,0,0,0,0,2010-2019
France,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Georgia,24.7,0,0,87.7,91.3,9.2,61.6,18.8,63.6,67.4,14.6,2010-2019
Palestine,20,0,0,68.6,43,18.4,42.9,48.2,76.2,70.3,34.6,2010-2019
Germany,59.6,0,0,80.9,17.9,29.5,73.5,12.6,12.1,66.7,5.9,2010-2019
Ghana,45.9,0,0,34.9,85.5,12,28.8,73.8,70.6,66.1,24.6,2010-2019
Guatemala,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Haiti,31.5,0,0,34.7,78.4,9.9,16.8,84.3,12.3,43.8,67.7,2010-2019
Hong Kong,43,0,0,79.3,58,18.8,72.6,17.7,10.9,69.2,15.1,2010-2019
Hungary,0,0,0,0,0,0,0,0,0,0,0,2010-2019
India,84.7,0,0,90.5,94.6,69.2,89.9,89.9,83.1,89.3,81.1,2010-2019
Indonesia,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Iran,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Iraq,22.2,0,0,70.3,57.8,15.3,36.8,68.4,75,74.2,34,2010-2019
Israel,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Italy,0,0,0,0,0,0,0,0,0,0,0,2010-2019
Japan,67.8,0,0,87.3,35.1,31.6,67.7,5,4.4,64.6,45.1,2010-2019
