country,determination_perseverance,feeling_of_responsibility,good_manners,hard_work,imagination,independence,obedience,religious_faith,thrift_saving_money_and_things,tolerance_and_respect_for_others,unselfishness,year
Andorra,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Albania,40.7,30.9,5.9,56.7,10.7,32,58.2,29.9,67,81.1,11.7,1995-1999
Algeria,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Azerbaijan,47,65.5,47.2,77.1,13.8,59.7,24.8,18.6,59.3,59.1,16.6,1995-1999
Argentina,28.5,79.6,25.8,55.5,25.8,42.4,31.6,34.7,15.9,73.6,16.4,1995-1999
Australia,36.4,66.1,19.6,35.9,26.4,52.9,29.2,21.4,18.9,80.7,39.7,1995-1999
Armenia,57.2,68.6,23.9,83.5,15.7,32,17.9,12.3,38.2,48.4,30.6,1995-1999
Bangladesh,53.4,39.4,4.6,8.1,14.2,57,19,77.7,51.5,69.2,15.7,1995-1999
Bosnia Herzegovina,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Brazil,34.6,64.7,47.6,47.4,7.7,19.8,59.1,56.7,38.7,59.7,32.2,1995-1999
Belarus,41.4,62.3,85.1,84,8.5,29.8,34.9,15,53.5,59.7,17.5,1995-1999
Bulgaria,44.3,63.6,13.7,92,7.5,38.4,20.3,16.1,43.5,46.4,44.7,1995-1999
Canada,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Chile,34.4,73.8,18.2,16.8,24.3,33.9,45.8,45.6,30.5,61.1,25.5,1995-1999
China,36.3,34.5,33.2,72.7,22.1,50.1,29.3,3.3,62.2,43,28.2,1995-1999
Taiwan,34.4,81,30.4,41.7,15.1,66.2,33.2,8.6,49.1,59.2,21.4,1995-1999
Colombia,19.5,76.9,16,18,18.9,27.1,42.7,42.3,25.1,68.3,37.3,1995-1999
Croatia,44.2,67.2,35.8,63.7,16.7,63.5,21.3,19.1,28.6,64.3,29.4,1995-1999
Cyprus,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Czech Rep.,35,69.1,21,78.9,5.1,22.5,14,8.9,44.1,60,32.3,1995-1999
Dominican Rep.,27.1,84.4,15.3,49.6,12.5,40,50.8,59.2,11.3,67.9,12.2,1995-1999
El Salvador,14,66.9,17.7,38.4,10.4,35.6,62.4,67,29.8,58.8,27.8,1995-1999
Ecuador,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Estonia,49,77.1,32.9,87.1,8.6,53.8,27,5,30.4,59.6,16.8,1995-1999
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Finland,44.4,87,18,14.7,23.5,56,28.1,11.2,29.2,82.5,18.2,1995-1999
France,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Georgia,36.6,67.6,38.6,81.9,10.3,50.7,22.9,31,31.9,54.1,19.7,1995-1999
Palestine,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Germany,41,92.3,30.3,9.9,33.5,51.5,12.3,11.6,52.8,88.3,5.4,1995-1999
Ghana,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Guatemala,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Haiti,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Hungary,0,85.1,17.2,33.7,12.8,44.2,30.8,17.5,41.7,63.5,28.8,1995-1999
India,28.8,48.2,18.4,71.6,10.8,37.4,69.9,36,41.9,51.6,22.5,1995-1999
Indonesia,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Iran,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Iraq,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Israel,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Italy,0,0,0,0,0,0,0,0,0,0,0,1995-1999
Japan,61.5,87.6,18.3,24.4,25.9,60.4,6.3,5.8,43.5,58.3,37.8,1995-1999
